Marca,Nombre,Gr/Ml/Un,EAN,Categoría,Sub-categoria,Zona,Descripcion - Larga,Key words
Cetaphil,Barra Dermolimpiadora x 127gr (on hold),127 gr,3499320008198,Dermocosmética,Limpieza,Facial / Corporal,"Cetaphil barra Dermolimpiadora, es un dlimpiador suave, sustituto del jabón tradicional,  libre de detergentes y sustancias que pueden secar o irritar la piel y además respeta la capa protectora de la piel.
¿Quien es la/ el consumidor/a de Cetaphil – Barra Dermolimpiadora? 
Bebés, niños y adultos con piel seca y sensible, que desean tener una higiene suave. 
¿ Que le propone Cetaphil – Barra dermolimpiadora? 
- Ideal para la higiene diaria facial y corporal de piel normal a seca y sensible 
- Barra suave libre de jabón. 
- Limpia sin irritación o sequedad. 
- Hidrata mientras limpia y deja la piel restaurada. 
- Hipoalergénica, no comedogénica y no irritante.
¿Sabias que? 
- Es seguro y efectivo para bebés y niños. 
- Es el compañero constante de su piel en la ducha o en la bañera.
 Modo de uso: Higiene diaria, Aplicar sobre la piel húmeda. Masajear suavemente. Enjuagar.","Limpiador; Jabón; Jabón para el rostro, Barra, Dermolimpiador Piel sensible"
Cetaphil,Toallitas de limpieza facial desmaquillantes x 25un,25 un,3499320005326,Dermocosmética,Limpieza,Facial,"A diferencia de otros limpiadores, las Toallitas Faciales Cetaphil son ultra suaves. Remueven con facilidad el maquillaje y la suciedad dejando tu piel limpia, fresca y equilibrada.
¿Quien es la consumidora de Cetaphil Toallitas de limpieza facial desmaquillantes?
Mujeres jóvenes y adultas con una piel normal a muy sensible, que desean desmaquillarse de una manera facil y rápida. 
Una mujer practica que busca simplificar la rutina  de limpieza.
¿ Que le propone Cetaphil Toallitas de limpieza facial desmaquillantes? 
- Limpia profundamente sin dejar residuos. 
- Humecta la piel. 
- No irrita la piel ni los ojos. 
- No comedogenico, libre de fragancia y con el pH balanceado. 
Modo de uso: Durante la mañana o por la noche, levate la tapa del producto para retirar la toallita. Pase la toallita suavemente sobre su rostro, incluyendo el área de los ojos para remover el maquillaje y las impurezas. No requiere enjuague. Cierre la tapa con seguridad después de cada uso. ","Limpiador; Toallitas, Desmaquillante; Piel sensible"
Cetaphil,Loción Limpiadora para Piel Sensible x 237ml,237 ml,3499320012867,Dermocosmética,Limpieza,Facial / Corporal,"Es un limpiador líquido, sustituto del jabón que brinda una limpieza profunda, completa, sin resecar ni irritar la piel, manteniéndola suave y tersa.
¿ Quien es la/ el consumidor/a de Cetaphil – Loción Limpiadora? 
Bebés, niños y adultos con una piel normal a muy sensible que busca un tratamiento 100% seguro. 
¿ Que le propone Cetaphil – Loción limpiadora?: 
- Ideal para la higiene diaria  del rostro y cuerpo .
- Se puede utilizar en todo tipo de piel, sobretodo las pieles más sensibles. 
- Cumple una acción emoliente y humectante 
- Complemento ideal en tratamientos de dermatitis atópica, melasma y rosácea.
- Ideal para afeitarse.
- Su fórmula es tan suave que puede utilizarse en la piel de los bebes y niños. 
- Hipoalergénica, no comedogénica y no irritante.
Modo de uso: Aplicar la loción en un disco de algodón y luego sobre el rostro, o directamente sobre la piel, por la mañana y por la noche. Puede retirarse con o sin agua.
","Limpiador; Loción, Desmaquillante; Piel sensible"
Cetaphil,Loción Limpiadora para Piel Sensible x 473ml,473 ml,3499320012850,Dermocosmética,Limpieza,Facial / Corporal,"Es un limpiador líquido, sustituto del jabón que brinda una limpieza profunda, completa, sin resecar ni irritar la piel, manteniéndola suave y tersa.
¿ Quien es la/ el consumidor/a de Cetaphil – Loción Limpiadora? 
Bebés, niños y adultos con una piel normal a muy sensible que busca un tratamiento 100% seguro. 
¿ Que le propone Cetaphil – Loción limpiadora?: 
- Ideal para la higiene diaria  del rostro y cuerpo .
- Se puede utilizar en todo tipo de piel, sobretodo las pieles más sensibles. 
- Cumple una acción emoliente y humectante 
- Complemento ideal en tratamientos de dermatitis atópica, melasma y rosácea 
- Ideal para afeitarse.
- Su fórmula es tan suave que puede utilizarse en la piel de los bebes y niños. 
- Hipoalergénica, no comedogénica y no irritante.
Modo de uso: Aplicar la loción en un disco de algodón y luego sobre el rostro, o directamente sobre la piel, por la mañana y por la noche. Puede retirarse con o sin agua.
","Limpiador; Loción, Desmaquillante; Piel sensible"
Cetaphil,Loción Limpiadora para Piel Grasa x 237ml,237 ml,3499320012812,Dermocosmética,Limpieza,Facial,"Cetaphil loción limpiadora para pieles grasas, por su alta tolerancia  limpia suave y profundamente la piel grasa. Gracias a su exclusiva combinación de ingredientes el rostro permanece sin brillo por más tiempo.
¿Quien es la/el consumidor/a de Cetaphil – Loción Limpiadora para pieles grasas? 
Jóvenes y adultos que presentan brillo y poros dilatados. Personas con piel mixta o grasa que busquen un limpiador adecuado para su tipo de piel. 
¿ Que le propone Cetaphil – Loción limpiadora para pieles grasas? 
- Formulado para la limpieza diaria del rostro de pieles con exceso de grasitud, acné o dermatitis seborreica y pieles mixtas 
- Efectiva limpieza de la piel sin resecarla ni irritarla, no produce tensión en la piel 
- Reduce efectivamente el nivel de sebo 
- Deja la piel suave, limpia y sin sensación tirante 
¿Sabias que?
- No produce efecto rebote. 
Modo de uso: Aplicar la loción en un disco de algodón y luego sobre el rostro por la mañana y por la noche. Necesita enjuague.
","Limpiador; Loción, Desmaquillante; Piel sensible; Piel grasa"
Cetaphil,Loción Limpiadora para Piel Grasa x 300ml,300 ml,7897930777736,Dermocosmética,Limpieza,Facial,"Cetaphil loción limpiadora para pieles grasas, por su alta tolerancia  limpia suave y profundamente la piel grasa. Gracias a su exclusiva combinación de ingredientes el rostro permanece sin brillo por más tiempo.
¿Quien es la/el consumidor/a de Cetaphil – Loción Limpiadora para pieles grasas? 
Jóvenes y adultos que presentan brillo y poros dilatados. Personas con piel mixta o grasa que busquen un limpiador adecuado para su tipo de piel. 
¿ Que le propone Cetaphil – Loción limpiadora para pieles grasas? 
- Formulado para la limpieza diaria del rostro de pieles con exceso de grasitud, acné o dermatitis seborreica y pieles mixtas 
- Efectiva limpieza de la piel sin resecarla ni irritarla, no produce tensión en la piel 
- Reduce efectivamente el nivel de sebo 
- Deja la piel suave, limpia y sin sensación tirante 
¿Sabias que?
- No produce efecto rebote. 
Modo de uso: Aplicar la loción en un disco de algodón y luego sobre el rostro por la mañana y por la noche. Necesita enjuague.
","Limpiador; Loción, Desmaquillante; Piel sensible; Piel grasa"
Cetaphil,Hidratante facial diario FPS 15 x 118ml,118 ml,7897930762077,Dermocosmética,Hidratante,Facial,"Cetaphil Facial hidratante con FPS 15 es el ideal, ya que brinda una prolongada hidratación además de una protección solar para cuidar la piel diariamente.
¿Quien es la/ el consumidor/a de Cetaphil – Hidratante facial FPS 15? 
Mujer y Hombres a partir de cualquier edad que busca una crema para el día. Practicos que busca simplificar la rutina. Que busque una locion que la hidrate pero a la vez lo prevenga del envejecimiento y fotoproteja. 
¿ Que le propone Cetaphil – Hidratante Facial FPS 15? 
- Fórmula única para hidratar, fotoproteger y prevenir el envejecimiento prematuro de la piel. 
- Emulsión liviana, no grasa, especialmente formulada para el rostro de todo tipo de piel, hasta las mas sensibles.
- Brinda fotoprotección UVA y UVB. 
- Enriquecida con Acetato de Tocoferol, un antioxidante que previenen la formación de radicales libres 
¿Sabias que?  
- Su formulación liviana, la hace de fácil aplicación y rápida absorción. Ideal para base del maquillaje. 
- Reduce la aparición de líneas finas y arrugas. 
Modo de uso: Uso diario, aplicar con un masaje suave de forma ascendente  durante la mañana y/o noche, en todo el rostro, luego una adecuada higiene.
",Hidratante; Hidratante día; FPS 15; Crema facial; Piel sensible; Piel seca
Cetaphil,Hidratante facial diario FPS 50 x 50ml,50 ml,3499320004541,Dermocosmética,Hidratante,Facial,"Cetaphil Facial hidratante con FPS 50 es el ideal, ya que brinda una prolongada hidratación además de una protección solar para cuidar la piel diariamente.
¿Quien es la/ el consumidor/a de Cetaphil – Hidratante facial FPS 50? 
Mujer y Hombres a partir de cualquier edad que busca una crema para el día. Practicos que busca simplificar la rutina. Que busque una locion que la hidrate pero a la vez lo fotoproteja. 
¿ Que le propone Cetaphil – Hidratante Facial FPS 50? 
- Emulsión liviana, no grasa, especialmente formulada para el rostro de todo tipo de piel, hasta las mas sensibles.
- Brinda una alta protección UVA y UVB. 
- Hidratación inmediata y prolongada por 8hs.
¿Sabias que?  
- Su formulación liviana, la hace de fácil aplicación y rápida absorción. Ideal para base del maquillaje. 
- Formulada con dióxido de titanio micronizado que no deja residuos blancos.
Modo de uso: Uso diario, aplicar con un masaje suave de forma ascendente  durante la mañana, en todo el rostro, luego una adecuada higiene.
",Hidratante; Hidratante día; FPS 50; Crema facial; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Locion Hidratante de dia con Ácido Hialurónico x 88ml,88 ml,3499320007986,Dermocosmética,Hidratante,Facial,"Cetaphil Facial Locion Hidratante de dia con Ácido Hialurónico. 
Loción hidratante ligera, sin aceites y con ácido hialurónico, proporciona una hidratación instantánea  y bloquea su humectación para proteger la piel de la sequedad.
¿Quien es la/ el consumidor/a de Cetaphil – Locion hidratante de día con Ácido Hialurónico? 
Mujer y Hombres a partir de cualquier edad que busca una locion hidratante liviana, que proporciona una hidratacion instantanea y prolongada.
¿ Que le propone Cetaphil – Locion hidratante de dia con Ácido Hialurónico? 
- Locion hidratante facial ligera, para todo tipo de piel, hasta las más sensibles.
- Absorbe rápidamente 
- Hidratación inmediata e intensa.
- Formulado con Ácido Hialurónico, Glicerina y una combinación de poderosos agentes hidratantes
- No contiene fragancia, parabenos ni aceite.
¿Sabias que?  
- El Ácido Hialurónico Retiene 1000 veces su peso en agua.
- Su formulación liviana, la hace de fácil aplicación y rápida absorción. Ideal para base del maquillaje. 
Modo de uso: Uso diario, aplicar con un masaje suave de forma ascendente  durante la mañana , en todo el rostro, luego una adecuada higiene.
",Hidratante; Hidratante día; Crema facial; Crema nutritiva; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Crema hidratante de noche con Ácido Hialurónico x 48gr,48 gr,3499320007979,Dermocosmética,Hidratante,Facial,"Cetaphil Facial Crema Hidratante de Noche con Ácido Hialurónico. 
Crema nutritiva nocturna,que ayuda a retener la humedad natural de la piel, protegiéndola de la sequedad .
¿Quien es la/ el consumidor/a de Cetaphil – Crema Hidratante de Noche con Ácido Hialurónico? 
Mujer y Hombres a partir de cualquier edad que busca una crema hidratante, que ayuda a retener la humedad natural de la piel.
¿ Que le propone Cetaphil – Crema Hidratante de Noche con Ácido Hialurónico? 
- Crema hidratante facial, para todo tipo de piel, hasta las más sensibles.
- Rehidrata y nutre la piel durante la noche.
. Fortalece la barrera de humectación natural de la piel
- Formulado con Ácido Hialurónico, Agentes Naturales y un complejo de Pro-Vitaminas (incluyendo Vitamina E y C)
- No contiene fragancia, ni parabenos
¿Sabias que?  
- El Ácido Hialurónico Retiene 1000 veces su peso en agua.
Modo de uso: Uso diario, aplicar con un masaje suave de forma ascendente  durante la noche , en todo el rostro, luego una adecuada higiene.
",Hidratante; Hidratante noche; Crema facial; Crema nutritiva; Acido hialurónico; Piel sensible; Piel seca
Cetaphil,Emulsión Hidratante x 237ml,237 ml,3499320012812,Dermocosmética,Hidratante,Facial / Corporal,"Brinda una potente humectación con una textura liviana. Provee los ácidos grasos esenciales que pierde la piel.
¿Quien es la/ el consumidor/a de Cetaphil – Emulsión hidratante? 
Mujeres y Hombres de cualquier edad con una piel normal a seca que busca una hidratación liviana, no grasa, para la piel del cuerpo. 
¿ Que le propone Cetaphil – Emulsión hidratante? 
- Especialmente formulada para el cuidado del cuerpo con piel normal, seca y sensible 
- Evita la pérdida transepidérmica de agua gracias a su fórmula enriquecida con Dimeticona 
- Su fórmula es liviana, no grasosa .
¿Sabias que?
- Brinda hidratación prolongada durante 96hs por su combinación de potentes agentes humectantes y emolientes de alta concentración. 
- Por ser no grasosa se puede utilizar incluso en el rostro.  
- Para una hidratación óptima, deberá aplicarse diariamente luego del baño. 
Modo de uso: Aplicar sobre la piel limpia una o dos veces al día.
",Hidratante; Hidratante corporal; Hidratante facial; Emulsión; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Emulsión Hidratante x 473ml,473 ml,7897930777743,Dermocosmética,Hidratante,Facial / Corporal,"Brinda una potente humectación con una textura liviana. Provee los ácidos grasos esenciales que pierde la piel.
¿Quien es la/ el consumidor/a de Cetaphil – Emulsión hidratante?
Mujeres y Hombres de cualquier edad con una piel normal a seca que busca una hidratación liviana, no grasa, para la piel del cuerpo.
¿ Que le propone Cetaphil – Emulsión hidratante?
- Especialmente formulada para el cuidado del cuerpo con piel normal, seca y sensible
- Evita la pérdida transepidérmica de agua gracias a su fórmula enriquecida con Dimeticona
- Su fórmula es liviana, no grasosa .
¿Sabias que?
- Brinda hidratación prolongada durante 96hs por su combinación de potentes agentes humectantes y emolientes de alta concentración.
- Por ser no grasosa se puede utilizar incluso en el rostro. 
- Para una hidratación óptima, deberá aplicarse diariamente luego del baño.
Modo de uso: Aplicar sobre la piel limpia una o dos veces al día.",Hidratante; Hidratante corporal; Hidratante facial; Emulsión; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Loción Ultra Humectante x 226gr,226 gr,7897930777682,Dermocosmética,Hidratante,Corporal,"Cetaphil Loción Ultra  Humectante  provee 24 horas de intensa hidratación con una única aplicación,  su fórmula no grasosa no tapa los poros y no genera alergia. Especialmente desarrollado para pieles sensibles.
¿ Quien es la/ el consumidor/a de Cetaphil – Loción Ultra Humectante?
Mujeres y hombres de cualquier edad con una piel seca a muy seca que busca una hidratación liviana, no grasa, para la piel del cuerpo. 
¿ Que le propone Cetaphil – Loción Ultra Humectante?  
- Desarrollada para la hidratación corporal de la piel muy seca y sensible. 
- 24 Horas de Intensa hidratación, 7 días de efecto persistente
- Fórmula no grasosa para usar en todo el cuerpo. 
¿Sabias que? 
- Enriquecida con el exclusivo Complejo Reparador Epidérmico (Manteca de Karité, PCA Sódico, Pantenol, Ciclopentasiloxano, Dimeticonol) :  
* Hidrata profundamente la piel.
* Repara la estructura intracelular  
* Previene la pérdida de agua.
- Además contiene Glicerina, Vitamina E  y Aceite de Macadamia.
- Para una hidratación óptima, deberá aplicarse diariamente luego del baño. 
Modo de uso: Aplicar sobre la piel limpia una o dos veces al día.",Hidratante; Hidratante corporal; Hidratante facial; Loción corporal; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Crema Hidratante x 250gr,250 gr,7502003560565,Dermocosmética,Hidratante,Corporal,"Es una crema de una avanzada tecnología que no es grasosa  y brinda  una mayor potencia de humectación para pieles o zonas con mayor resequedad o sensibles.
¿Quien es la/ el consumidor/a de Cetaphil – Crema Hidratante? 
Mujeres y Hombres de cualquier edad con una piel muy seca a extra-seca que busca una hidratación cremosa para la piel del cuerpo. 
¿Que le propone Cetaphil – Crema Hidratante? 
- Especialmente formulada para la resequedad crónica y el cuidado de la piel extra-seca y sensible del cuerpo.  
- Hidratación prolongada por más de 96 horas.
- Su fórmula con Poliglicerilmetacrilato atrae y retiene la humedad evitando la pérdida transepidérmica de agua. 
- Su fórmula con Aceite de Almendras, proporciona ácidos grasos esenciales 
¿Sabias que? 
- Ideal para aplicar en cuerpo y zonas más secas como codos, talones y rodillas.
- Para una hidratación óptima, deberá aplicarse diariamente luego del baño. 
Modo de uso: Aplicar sobre la piel limpia una o dos veces al día.
",Hidratante; Hidratante corporal; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Crema Hidratante x 453gr,453 gr,3466320012838,Dermocosmética,Hidratante,Corporal,"Es una crema de una avanzada tecnología que no es grasosa  y brinda  una mayor potencia de humectación para pieles o zonas con mayor resequedad o sensibles.
¿Quien es la/ el consumidor/a de Cetaphil – Crema Hidratante? 
Mujeres y Hombres de cualquier edad con una piel muy seca a extra-seca que busca una hidratación cremosa para la piel del cuerpo. 
¿Que le propone Cetaphil – Crema Hidratante? 
- Especialmente formulada para la resequedad crónica y el cuidado de la piel extra-seca y sensible del cuerpo.  
- Hidratación prolongada por más de 96 horas.
- Su fórmula con Poliglicerilmetacrilato atrae y retiene la humedad evitando la pérdida transepidérmica de agua. 
- Su fórmula con Aceite de Almendras, proporciona ácidos grasos esenciales 
¿Sabias que? 
- Ideal para aplicar en cuerpo y zonas más secas como codos, talones y rodillas.
- Para una hidratación óptima, deberá aplicarse diariamente luego del baño. 
Modo de uso: Aplicar sobre la piel limpia una o dos veces al día.
",Hidratante; Hidratante corporal; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Gel Crema Calmante x 453gr,453 gr,3499320014267,Dermocosmética,Hidratante,Corporal,"Para pieles sensibles e irritadas

La exclusiva crema en gel ultraligera y de rápida absorción ayuda a calmar y aliviar la piel seca y sensible.

• La alantoína protege la piel de los factores ambientales como el sol, el viento y el frío.
• El aloe vera calma la piel mientras que nuestra combinación única de humectantes brinda hidratación las 24 horas.
• Probado por dermatólogos y clínicamente probado para ser suave con la piel sensible.


",Hidratante; Hidratante corporal; Crema nutritiva; Piel sensible; Piel seca
Cetaphil,Gel Crema Calmante x 226gr,226 gr,3499320014274,Dermocosmética,Hidratante,Corporal,"Para pieles sensibles e irritadas

La exclusiva crema en gel ultraligera y de rápida absorción ayuda a calmar y aliviar la piel seca y sensible.

• La alantoína protege la piel de los factores ambientales como el sol, el viento y el frío.
• El aloe vera calma la piel mientras que nuestra combinación única de humectantes brinda hidratación las 24 horas.
• Probado por dermatólogos y clínicamente probado para ser suave con la piel sensible.


",Hidratante; Hidratante corporal; Crema nutritiva; Piel sensible; Piel seca
