Fase,Marca,Nombre del producto,Titulo optimizado,EAN,Descripción,Beneficio (bullets),Modo de uso,Composición,Ingredientes,Textura,Tipo de piel,Categoría,Subcategoría,Presentacion,Palabras Clave
Fase 2,AVENE,Gel de limpieza Trixera ,Gel Limpiador Nutrifluido Avene Trixera 400ml,7798095418680,"Gel de higiene corporal diaria para pieles secas a muy secas
de toda la familia.","-Limpia con suavidad y nutre las pieles más sensibles
-Rostro y cuerpo
-Niños a partir de 3 años
-Excelente tolerancia cutánea, ocular y ginecológica
-Fórmula biodegradable
-Delicadamente perfumada","Aplicar sobre la piel previamente humedecida. Enjuagar
con abundante agua y secar delicadamente.",Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) Selectiose (Restaura la barrera cutánea) Glicerina Sorbitol (Agentes hidratantes) ,AVENE THERMAL SPRING WATER (AVENE AQUA). WATER (AQUA). GLYCERIN. HYDROGENATED STARCH HYDROLYSATE. DECYL GLUCOSIDE. SODIUM LAUROYL METHYL ISETHIONATE. CETEARETH-60 MYRISTYL GLYCOL. DISODIUM COCOAMPHODIACETATE. POLYSORBATE 20. PEG-40 HYDROGENATED CASTOR OIL. COCO-GLUCOSIDE. GLYCERYL OLEATE. CAPRYLYL GLYCOL. CITRIC ACID. FRAGRANCE (PARFUM). HYDROGENATED PALM GLYCERIDES CITRATE. LAURIC ACID. PENTYL RHAMNOSIDE. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM GLYCOLATE. SODIUM METHYL ISETHIONATE. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Gel,Secas,Corporal,Limpieza,400 ml,*Gel *Limpieza *Limpiador *Facial *Rostro *Piel seca *Piel muy seca *Suave *Corporal *Biodegradable *Perfumado
Fase 2,AVENE,Espuma de Limpieza ,Espuma Limpiadora Avene Matificante 150ml,7798095417041,Espuma que limpia y desmaquilla con suavidad el rostro y los ojos. Elimina las impurezas y el exceso de sebo. Sin Jabón. Sin parabenos.,"-Elimina el maquillaje y las impurezas con suavidad
-Textura fresca 
-Efecto purificador y matificante 
","Aplicar sobre la piel humedecida del rostro. Dar un masaje circular con las yemas
de los dedos y enjuagar con agua tibia. ",Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) Ácido glutámico (Reequilibra la producción de sebo) Agentes hidratantes (Aporta flexibilidad) Base limpiadora suave (Limpia y desmaquilla con suavidad),AVENE THERMAL SPRING WATER (AVENE AQUA). WATER (AQUA). SODIUM COCOAMPHOACETATE. DISODIUM COCOYL GLUTAMATE. CITRIC ACID. DISODIUM EDTA. FRAGRANCE (PARFUM). GLUTAMIC ACID. LACTIC ACID. PROPYLENE GLYCOL. SODIUM BENZOATE. SODIUM CHLORIDE,Espuma,Normal o mixta,Facial,Limpieza,150 ml,*Espuma *Facial *Rostro *Mate *Matificante *Piel sensible *Piel mixta *Purificante
Fase 2,AVENE,Mascarilla Calmante-Hidratante,Mascarilla Avene Calmante Hidratante 50ml,7798095410134,Mascarilla hidratante y calmante ideal para todo tipo de piel sensible. Los elementos hidratantes de su fórmula reconstruyen la barrera cutánea y favorecen una hidratación óptima para la piel. Sin parabenos.,"-Reconstituye la barrera cutánea.
-Libera la piel de los signos de fatiga.
","Aplicar una capa visible sobre la piel limpia y seca del rostro. 
Dejar actuar durante 15 minutos y retirar el excedente con un papel tissue.
","Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes) Extracto natural de frutos rojos (Potenciador de las células de la piel, aportan energía y luminosidad) Pre-tocoferil (Precursor de Vitamina E, antioxidante) Ceras y aceites nutritivos, aceite de cártamo y glicoles hidratantes (Agentes Hidronutritivos)
","AVENE THERMAL SPRING WATER (AVENE AQUA). MINERAL OIL (PARAFFINUM LIQUIDUM). CAPRYLIC/CAPRIC TRIGLYCERIDE. WATER (AQUA). CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL (CARTHAMUS TINCTORIUS SEED OIL). PALMITIC ACID. STEARIC ACID. HYDROGENATED PALM/PALM KERNEL OIL PEG-6 ESTERS. TRIETHANOLAMINE. GLYCERYL STEARATE. MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA). PEG-100 STEARATE. PROPYLENE GLYCOL. 1,2-HEXANEDIOL. CAPRYLIC/CAPRIC GLYCERIDES. CAPRYLYL GLYCOL. CARBOMER. DISODIUM EDTA. FRAGRANCE (PARFUM). PHENYL TRIMETHICONE. RIBES RUBRUM (CURRANT) FRUIT EXTRACT (RIBES RUBRUM FRUIT EXTRACT). RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT (RUBUS IDAEUS FRUIT EXTRACT). SODIUM BENZOATE. TOCOPHERYL GLUCOSIDE. TROPOLONE. VACCINIUM MYRTILLUS FRUIT EXTRACT",Crema ,Todo tipo ,Facial,Limpieza,50 ml,*Mascarilla *Facial *Cara *Rostro *Piel sensible *Regenera *Fatiga *Resplandeciente
Fase 2,AVENE,Bálsamo Nutritivo Trixera,Bálsamo Nutritivo Avene Trixera Nutri-Fluido 400ml ,7798095418673,"Bálsamo nutritivo corporal de uso diario para la piel muy seca de toda
la familia.","-Suaviza, nutre y repara la piel en profundidad
-Restaura la barrera cutánea
-Cuidado nutritivo de uso diario
-Nutrición 24 hs
-Rápida absorción
-Niños a partir de 3 años","Aplicar 1 o 2 veces al día sobre la piel limpia y seca del
rostro y cuerpo.",Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes) Selectiose con color (Restaura la barrera cutánea) Trío lipídico (Limita la evaporación de agua),AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. ISOPROPYL PALMITATE. PENTAERYTHRITYL TETRACAPRYLATE/TETRACAPRATE. PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE. CAPRYLIC/CAPRIC TRIGLYCERIDE. GLYCERYL STEARATE. MYRETH-3 MYRISTATE. PEG-100 STEARATE. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BENZOIC ACID. CAPRYLYL GLYCOL. CARBOMER. GLYCINE. GLYCINE SOJA (SOYBEAN) SEED EXTRACT (GLYCINE SOJA SEED EXTRACT). OENOTHERA BIENNIS (EVENING PRIMROSE) OIL (OENOTHERA BIENNIS OIL). PEG-32. PEG-400. PENTYL RHAMNOSIDE. SODIUM HYDROXIDE. TOCOPHEROL. TOCOPHERYL ACETATE. WATER (AQUA),Bálsamo,Seca,Corporal,Hidratación ,400 ml,*Crema *Bálsamo *Corporal *Familiar *Piel seca *Suaviza *Nutre *Repara *Rápida absorción
Fase 2,AVENE,Leche Demaquillante,Leche Desmaquillante Avene 200ml,7798095410363,Leche de limpieza de uso diario para pieles sensibles secas. Desmaquilla y elimina las impurezas de la piel sin agredirla.,"-Proporciona una limpieza en profundidad respetando 
el film hidrolipídico
-Sus agentes desmaquillantes suaves eliminan las 
impurezas de la piel
-Deja una sensación prolongada de humectación
-Aporta luminosidad al rostro",Aplicar con la yema de los dedos sobre la piel humedecida del rostro y cuello. Eliminar el exceso con un algodón o tissue. ,"Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes), Tenso-activos suaves (Limpian en profundidad respetando 
la integridad de la piel), Hialuronato de sodio (Agente hidratante)","AVENE THERMAL SPRING WATER (AVENE AQUA). MINERAL OIL (PARAFFINUM LIQUIDUM). PROPYLENE GLYCOL. PEG-6 STEARATE. PEG-32 STEARATE. 1,2-HEXANEDIOL. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. C12-20 ALKYL GLUCOSIDE. C14-22 ALCOHOLS. CAPRYLYL GLYCOL. CARBOMER. FRAGRANCE (PARFUM). PALMITIC ACID. SODIUM HYALURONATE. SODIUM HYDROXIDE. STEARIC ACID. WATER (AQUA)",Leche,Seca,Facial,Limpieza,200 ml,*Limpiador facial *Leche *Desmaquillante *Piel sensible *Piel seca *Humectante *Hidratante *Calmante
Fase 2,AVENE,Hydrance Riche UV ,Crema Hidratante Facial Avene Hydrance Riche UV SPF 30+ 40ml,7799075000840,"Crema hidratante con SPF 30. Ideal para pieles sensibles, deshidratadas y secas. Hidrata la piel por 24 horas y la protege de los rayos UV. Sin efecto blanco.","-Protege y previene la piel de los daños ocasionados por 
los rayos UV (SPF 30)
-Ayuda a prevenir el fotoenvejecimiento
-Hidrata de forma inmediata y duradera
-Sin efecto blanco","Aplicar sobre la piel limpia del rostro, cuello y escote."," Compuesto por: Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) 
Cohederm TM (Complejo hidratante patentado) Pre-tocoferil (Anti oxidante) Tinosorb M,Tinosorb S,UVAsorb HEB,Parsol 1789 (Sistema fotoprotector) Fase emoliente",AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. DICAPRYLYL CARBONATE. DIISOPROPYL ADIPATE. GLYCERIN. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. POLYMETHYL METHACRYLATE. BUTYL METHOXYDIBENZOYLMETHANE. BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER). METHYL GLUCETH-20. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. HYDROGENATED STARCH HYDROLYSATE. C10-18 TRIGLYCERIDES. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. PHYTOSTEROLS. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. PROPYLENE GLYCOL. SORBITAN ISOSTEARATE. STEARYL ALCOHOL. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. XANTHAN GUM,Crema ,Seca,Facial,Hidratación ,40 ml,*Crema facial *Hidratante *Piel sensible *Piel seca *Piel muy seca *FPS *UV *Antioxidante *Textura aterciopelada
Fase 2,AVENE,Antirojeces Día,Crema Facial Hidratante de Día Avene Antirojeces SPF 30+ 40ml,7798095416525,Crema hidratante para las pieles sensibles con rojeces. Contiene SPF 30.,"-Hidrata de forma segura las pieles con enrojecimiento
-Atenúa las rojeces del rostro.
-Aporta confort y disminuye las molestias.
-Protege y previene los daños ocasionados por los rayos UV (SPF 30)
","Aplicar sobre la piel limpia del rostro, cuello y escote.","Agua Termal Avène (Ayuda en procesos irritativos y 
sensibilizantes),  TRP-Regulin™ (Combinación de activos patentados para mejorar el umbral de tolerancia y reducir la reactividad de la piel, manteniendo el equilibrio del microbioma) y Sulfato de dextrano (Descongestionante y vasoconstrictor, para calmar la irritación y reducir el enrojecimiento.)","AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. GLYCERIN. DICAPRYLYL CARBONATE. DIISOPROPYL ADIPATE. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). ALUMINUM STARCH OCTENYLSUCCINATE. BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER). DIETHYLHEXYL BUTAMIDO TRIAZONE. BUTYL METHOXYDIBENZOYLMETHANE. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. 1,2-HEXANEDIOL. 4-T-BUTYLCYCLOHEXANOL. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BLUE 1 (CI 42090). CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. OCTYLDODECANOL. PONGAMIA GLABRA SEED OIL. PROPYLENE GLYCOL. SODIUM DEXTRAN SULFATE. SODIUM HYDROXIDE. STEARYL ALCOHOL. TITANIUM DIOXIDE (CI 77891). TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. TROPOLONE. XANTHAN GUM",Crema ,Sensible,Facial,Hidratación ,40 ml,*Crema facial *Calmante *FPS *UV *Antioxidante *Piel sensible *Piel seca *Piel muy seca *Piel roja *Piel irritada *Mascarilla *Alivio
Fase 2,AVENE,Aceite Xeracalm,Aceite de Limpieza Facial y Corporal Avene XeraCalm AD para Pieles Sensibles 400ml,7798095417256,"Aceite de higiene diaria de alta tolerancia para pieles 
sensibles muy secas y atópicas. ","-Limpia la piel sin agredirla, reduciendo la
sensibilidad y la inflamación
-Restaura la barrera cutánea
-Disminuye la sequedad y las irritaciones
-Calma el prurito
-Devuelve el bienestar cutáneo.","Aplicar sobre la piel humedecida como sustituto de jabón. 
Enjuagar con abundante agua y secar delicadamente.
Puede utilizarse en fase de brote.","Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) 
I-modulia® (Antiinflamatorio, anti-prurito y anti-bacteriano) Cer-Omega (Emoliente) Base lavante suave",AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. WATER (AQUA). HYDROGENATED STARCH HYDROLYSATE. DISODIUM COCOAMPHODIACETATE. DECYL GLUCOSIDE. POLYSORBATE 20. SODIUM CHLORIDE. CETEARETH-60 MYRISTYL GLYCOL. AQUAPHILUS DOLOMIAE EXTRACT. ARGININE. CITRIC ACID. COCO-GLUCOSIDE. EVENING PRIMROSE OIL/PALM OIL AMINOPROPANEDIOL ESTERS. GLYCERYL OLEATE. GLYCINE. HYDROGENATED VEGETABLE GLYCERIDES CITRATE. SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL (SIMMONDSIA CHINENSIS SEED OIL). SODIUM BENZOATE. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Aceite,Sensibles,Corporal,Limpieza,400 ml,*Limpiador facial *Piel sensible *Piel seca *Piel muy seca *Piel atópica *Prurito
Fase 2,AVENE,Hydrance Riche,Crema Hidratante Facial Avene Hydrance Riche 40ml,7798095410417,"Crema hidratante para pieles sensibles, deshidratadas y secas. Hidrata la piel por 24 horas.","-Crema de fácil absorción
-Deja la piel suave y sedosa
-Proporciona un verdadero confort cutáneo
-Hidrata de forma inmediata y duradera","Aplicar sobre la piel limpia del rostro, cuello y escote.",Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.)  Cohederm TM (Complejo hidratante patentado) Fase emoliente,"AVENE THERMAL SPRING WATER (AVENE AQUA). MINERAL OIL (PARAFFINUM LIQUIDUM). GLYCERIN. ISOHEXADECANE. DIMETHICONE. CETEARYL ALCOHOL. CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL (CARTHAMUS TINCTORIUS SEED OIL). ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. GLYCERYL STEARATE. PEG-100 STEARATE. 1,2-HEXANEDIOL. BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER). CETEARYL GLUCOSIDE. BENZOIC ACID. FRAGRANCE (PARFUM). PHYTOSTEROLS. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. SODIUM HYDROXIDE. SORBITAN ISOSTEARATE. WATER (AQUA). XANTHAN GUM",Crema ,Seca,Facial,Hidratación ,40 ml,*Crema facial *Hidratante *Piel sensible *Piel seca *Piel muy seca *Antioxidante *Textura aterciopelada *Fácil absorción
Fase 2,AVENE,DESMAQUILLANTE 3 EN 1,Fluido Desmaquillante 3 en 1 Avene 200ml,7798095419007,"Leche de limpieza de textura fresca y ligera. Limpia y desmaquilla rostro, ojos y labios. Para todo tipo de piel.","-Limpia, desmaquilla y calma la piel
-Sin enjuague","Aplicar sobre la piel humedecida y masajear suavemente con las yemas de los dedos o con la ayuda de un algodón para disolver
el maquillaje.","Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) 
Triglicerido Caprico/Caprilico (Emoliente) Agentes limpiadores solubilizantes (Limpian y desmaquillan)",AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. CAPRYLIC/CAPRIC TRIGLYCERIDE. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. CARBOMER. DISODIUM EDTA. FRAGRANCE (PARFUM)PHENOXYETHANOL. SORBIC ACID. TRIETHANOLAMINE,Leche,Seca,Facial,Limpieza,200 ml,*Limpiador facial *Desmaquillante *Calmante *Piel sensible *Sin enjuague
Fase 2,AVENE,DESMAQUILLANTE DE OJOS WATERPROOF,"Desmaquillante de ojos Avene Waterproof 125ml
",7799075000079,Desmaquillante bifásico para ojos sensibles. Remueve el maquillaje sin necesidad de frotar la piel y dañar las pestañas. Ideal para usuarias con lentes de contacto. Cuatro veces menos  pestañas caídas a partir de la segunda semana de uso. ,"-Perfecciona la limpieza de las pieles secas
-Retira suavemente los residuos del maquillaje
-Protege la piel de las agresiones externas dejando 
una verdadera película calmante",Aplicar suavemente con un algodón y luego retirar con agua.,"Agua Termal Avène (Ayuda en procesos irritativos y sensibilizantes.) 
Silicatos de aluminio (Proporciona suavidad y disminuye el enrojecimiento) Alfa-Bisabolol (Proporciona un efecto calmante en la piel) Tenso-activos suaves (Limpian en profundidad respetando la integridad de la piel)
Hialuronato de sodio (Agente hidratante)",AVENE THERMAL SPRING WATER (AVENE AQUA). TRIETHANOLAMINE. SODIUM CHLORIDE. POLOXAMER 188. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. HYDROGENATED STARCH HYDROLYSATE. PHENETHYL ALCOHOL. WATER (AQUA),Loción,Todo tipo ,Facial,Limpieza,200 ml,*Desmaquillante *Ojos *Intenso *A prueba de agua *Ojos sensibles *Parpados *Sin enjuague
Fase 2,AVENE CICALFATE,Bálsamo Labial Reparador Avene Cicalfate 10ml,Bálsamo Labial Reparador Avene Cicalfate 10ml,7799075001762,"
 Bálsamo de labios calmante y reparador.
  Ideal para labios agrietados e irritados.","Beneficios:
 -Ayuda a aliviar las irritaciones superficiales causadas por las condiciones climáticas, los agresores químicos (productos domésticos irritantes, etc.) o los tratamientos médicos. 
 -Eficaz en la zona alrededor de la boca y en los lados de la nariz.
 -Fórmula resistente al agua.","Modo de uso:
Aplicar sobre sobre la zona irritada con la frecuencia necesaria.","Composición:
Compuesto por: Sucralfato (favorecen la reparación de la piel) y Zinc (Limita el riesgo de proliferación bacteriana)",GLYCERIN. RICINUS COMMUNIS (CASTOR) SEED OIL (RICINUS COMMUNIS SEED OIL). AVENE THERMAL SPRING WATER (AVENE AQUA). BEESWAX (CERA ALBA). CAPRYLIC/CAPRIC TRIGLYCERIDE. MINERAL OIL (PARAFFINUM LIQUIDUM). BIS-DIGLYCERYL POLYACYLADIPATE-2. ISOPROPYL PALMITATE. HYDROGENATED CASTOR OIL. HYDROGENATED POLYISOBUTENE. PEG-45/DODECYL GLYCOL COPOLYMER. ALUMINUM SUCROSE OCTASULFATE. ZINC OXIDE. MAGNESIUM SULFATE. ZINC SULFATE,Crema ,Todo tipo ,Facial,Hidratación ,10 ml,*Labios *Reparación *Irritación *Sequedad *LabiosSecos *Agrietados
Fase 2,AVENE CICALFATE,Crema reparadora de manos Avene Cicalfate 100ml,Crema reparadora de manos Avene Cicalfate 100ml,7799075001755,"
 Crema de manos reparadora y calmante. 
 Alivia las manos muy secas, cortadas y agrietadas sin dejar una sensación pegajosa.","Beneficios:
 -Repara las manos irritadas por el frío, los continuos lavados y la aplicación frecuente de soluciones hidroalcohólicas.
 -Alivia las irritaciones, el ardor y la tirantez. 
 -Desinfecta las pieles agrietadas e irritadas.
 -Acabado efecto ""segunda piel""","Modo de uso:
 Aplicar sobre las manos limpias al menos dos veces al día en toda la superficie de las manos, centrándose en las zonas más irritadas.","Composición:
 Compuesto por: Sucralfato (favorecen la reparación de la piel) y Cobre/Zinc (Limita el riesgo de proliferación bacteriana)", AVENE THERMAL SPRING WATER (AVENE AQUA). MINERAL OIL (PARAFFINUM LIQUIDUM). MYRETH-3 MYRISTATE. PEG-45/DODECYL GLYCOL COPOLYMER. DIMETHICONE. ALUMINUM SUCROSE OCTASULFATE. OCTYLDODECANOL. PEG-7 GLYCERYL COCOATE. ALUMINUM STARCH OCTENYLSUCCINATE. GLYCERIN. BEESWAX (CERA ALBA). CETYL ALCOHOL. COPPER SULFATE. DIMETHICONOL. DISTEARDIMONIUM HECTORITE. GLYCERYL STEARATE. MAGNESIUM SULFATE. PHENOXYETHANOL. SODIUM BENZOATE. XANTHAN GUM. ZINC SULFATE,Crema ,Todo tipo ,Corporal,Cicatrizantes,100 ml,*Manos *Reparación *Irritación *Sequedad *ManosSecas *Agrietadas
Fase 2,Avene,Gel Limpiador Avene Cleanance 400ml,Gel Limpiador Avene Cleanance 400ml,7799075001731,Gel de limpieza para pieles grasas con tendencia acnéica. Limpia y purifica la piel.,"Limpia suavemente la piel sin irritar.
 Elimina el exceso de sebo. 
 Purifica la piel respetando su PH. 
 Calma, equilibria y suaviza la piel.","Aplicar mañana y/o noche sobre el rostro y cuello con un poco de agua o directamente sobre la piel húmeda. Dar un ligero masaje hasta que haga espuma. Luego, enjuagar bien y secar suavemente.","Compuesto por: Agua Termal Avène (Calmante y desensibilizante), Gluconato de Zinc (Seborreguladora antiirritante), Tensioactivos (Agentes limpiadores), Sulfato de Zinc Coceth(TM) (actividad anti acnes), Perfume.
 Libre de perfume y de aceite. Dermatologicamente testeado. No posee jabón.",AVENE THERMAL SPRING WATER (AVENE AQUA). WATER (AQUA). ZINC COCETH SULFATE. LAURYL BETAINE. DECYL GLUCOSIDE. CETEARETH-60 MYRISTYL GLYCOL. PEG-7 GLYCERYL COCOATE. POLYSORBATE 20. CITRIC ACID. FRAGRANCE (PARFUM). GREEN 5 (CI 61570). ISOPROPYL ALCOHOL. PEG-40 HYDROGENATED CASTOR OIL. PEG-6. PPG-26-BUTETH-26. SILYBUM MARIANUM FRUIT EXTRACT. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140). ZINC GLUCONATE,Gel,Mixta o Grasa,Facial,Limpieza,400 ml,*Rostro *Limpieza *Acne *Pieles grasas *Cuidado de la piel *Cuidado Facial *Cuidado diario *Cara *Granos *Higiene *Calmante *Uso frecuente
Fase 3,AVENE,AVE-XERACALM AD CREMA NUEVO DEFI 200 ML,Crema Emoliente Avene XeraCalm AD Pieles Sensibles 200ml,7799075000390,"Crema emoliente para el cuidado de pieles sensibles, secas y atópicas. Calma el prurito y restaura la barrera cutánea.","-Restaura la barrera cutánea
-Disminuye la sequedad y devuelve el confort a la piel.
-Elevada tolerancia cutánea
- 48 hs de hidratacion.
-Calma el prurito
-Sin conservantes
-Sin perfume","Aplicar 2 veces al día, en las zonas de sequedad, evitando las zonas con brote inflamatorio. Apto para el rostro y cuerpo.","Agua Termal Avene (Calma, suaviza y disminuye la irritación)
I-modulia (Antiinflamatorio, Anti-prurito y Anti-bacteriano. Refuerza la inmunidad cutanea)
Cer-Omega (Emoliente, restaura la función barrera)
Sin conservantes, sin perfume.",AVENE THERMAL SPRING WATER (AVENE AQUA). GLYCERIN. MINERAL OIL (PARAFFINUM LIQUIDUM). CETEARYL ALCOHOL. OENOTHERA BIENNIS (EVENING PRIMROSE) OIL (OENOTHERA BIENNIS OIL). CAPRYLIC/CAPRIC TRIGLYCERIDE. CETEARYL GLUCOSIDE. AQUAPHILUS DOLOMIAE EXTRACT. ARGININE. CARBOMER. EVENING PRIMROSE OIL/PALM OIL AMINOPROPANEDIOL ESTERS. GLYCINE. SODIUM HYDROXIDE. TOCOPHEROL,Crema ,Seca,Corporal,Piel atópica,200 ml,*Piel seca *Piel muy seca *Piel atópica *Crema esteril *Crema *Hidratación *Dermatitis *Dermatitis atópica *Prurito *Calmante *Confort *Calmante *Enrojecimiento *Irritación *Rostro *Cara *Facial *Cuerpo
Fase 3,AVENE,HYDRANCE LEGERE COLOR,Emulsión Hidratante con Color Avene Hydrance BB Ligera Para Piel Mixta SPF 30+ 40ml,7798095418444,Emulsión hidratante iluminadora con color y SPF 30 para pieles mixtas deshidratadas.,"-Hidrata, unifica el tono y la luminosidad de la piel.
-Difumina las imperfecciones.
Revela luminosidad (nácares iluminadores del tono).
-Único color a adaptable a todos los tonos de piel.
-Previene el foto-envejecimiento","Aplicar por la mañana sobre la piel limpa del rostro y cuello o luego de Hydrance Serum. 
","Agua Termal de Avène (Calma, suaviza y disminuye la irritación),Cohederm (Complejo hidratante patentado), Pre-tocoferil (Antioxidante), Tinosorb M,Tinosorb S,UVAsorb HEB,Parsol 1789 (Sistema fotoprotector), Tono BB iluminador - Mica natural - Óxido de hierro/titanio (Efecto iluminador), Fase emoliente (29%)

",AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYLBENZOATE. DICAPRYLYL CARBONATE. GLYCERIN. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. DIISOPROPYL ADIPATE. METHYL GLUCETH-20. SILICA. TITANIUM DIOXIDE (CI 77891). BUTYL METHOXYDIBENZOYLMETHANE. ZEA MAYS (CORN) STARCH (ZEA MAYS STARCH). MICA. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. HYDROGENATED STARCH HYDROLYSATE. IRON OXIDES (CI 77492) (CI 77491) (CI 77499). PHYTOSTEROLS. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. PROPYLENE GLYCOL. SODIUM HYDROXIDE. SORBITAN ISOSTEARATE. STEARYL ALCOHOL. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. XANTHAN GUM,Emulsión,Mixta,Facial,Hidratación ,40 ml,*Crema *Facial *Cara *Rostro *Piel sensible *Piel seca *Piel mixta *Mate *Hidratante *Anti age
