Categoria,Nombre de la Línea,Tipo de Línea,Necesidades,SKU,Código EAN,Producto,Descripción Corta,Indicación,Modo de uso,INCI,Activos,Beneficios,Generales,Presentación,Ancho (mm),Prof (mm),Altura (mm),Peso (g)
Dermocosmética,Clarité,Pigmentación,Manchas,1600204,7798182771261,Clarité TX Sérum,"Sérum despigmentante intensivo
Antioxidante y protector celular
","Clarité Sérum despigmentante intensivo, es un tratamiento para ayudar a reducir las manchas y su reaparición. Indicado para hiperpigmentaciones de cualquier origen y manchas asociadas al fotoenvejecimiento. Promueve una piel radiante y un tono uniforme.","Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Colocar 3 a 5 gotas una vez al día sobre la piel realizando suaves masajes circulares con la yema de los dedos. Evitar el contorno de ojos. Se recomienda utilizar el producto diariamente durante 60-90 días como mínimo. Para potenciar el efecto, se recomienda complementar con Clarité crema fluída y/o Renovateurs. Durante el tratamiento, es necesario el uso de protección solar FPS 50+ de día y evitar la exposición prolongada al sol.","Water, Nicotinamide,Tranexamic Acid, Laureth-4, Laureth-23,Phenoxyethanol,Sodium Acrylates Copolymer, (And) Lecithin, Simmondsia Chinensis (Jojoba) Seed Oil, Polyacrylate 13 & Polyisobutene & Polysorbate 20, Oxothiazolidine / Butylene Glicol / Sodium Benzoate, Bisabolol, Ethylhexylglycerin, Disodium Edta, Citric Acid, Vitis Vinifera (grape) Fruit Extract, Parfum ","Ácido tranexámico
Niacinamida
OTZ 10® ProTaurine 
Polifenoles de UVA","Clarité Sérum es una fórmula específica despigmentante. Ideal para manchas cutáneas propias de la edad o bien causadas por factores medioambientales o genéticos. Contiene ácido tranexámico al 3%, una molécula de referencia con alta eficacia para despigmentar y optimizar la acción de otros tratamientos para hiperpigmentación, sean dermocosméticos y/o médicos. Se potencia con Niacinamida 5% que hidrata, protege la barrera cutánea y unifica el tono. Además, posee OTZ 10®ProTaurine que es un poderoso antioxidante y protector celular frente a los daños provocados por especies reactivas de oxígeno (ROS) nitrógeno (RNS) y carbonilo (RCS) provenientes de la incidencia de los rayos UV, la polución, contaminación y luz azul. Es un activo inteligente, que luego de captar los radicales libres, se convierte en taurina; un poderoso activo antifatiga. Un shock de energía para la piel. 
Contiene, además nuestros exclusivos polifenoles de UVA.
Con el uso frecuente y correcto Clarité Sérum unifica el tono, reduce las manchas y su reaparición.
Su textura es fluida y de rápida absorción
","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Gotero x 30 ml ,,,,
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación/ Anti-Edad,1600301,7798182770028,Hydrafirm AR,Sérum hidratante anti-age de día. Antioxidante,"Hydrafirm AR sérum de día es un hidratante y preventivo de las arrugas de expresión de textura ultra ligera, cuidado diario ideal para todo tipo de piel.","Aplicar Hydrafirm AR sérum de día sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda utilizar combinado con Hydrafirm HA sérum, para potenciar el tratamiento hidratante.","Water, Nicotinamide,Tranexamic Acid, Laureth-4, Laureth-23,Phenoxyethanol,Sodium Acrylates Copolymer, (And) Lecithin, Simmondsia Chinensis (Jojoba) Seed Oil, Polyacrylate 13 & Polyisobutene & Polysorbate 20, Oxothiazolidine / Butylene Glicol / Sodium Benzoate, Bisabolol, Ethylhexylglycerin, Disodium Edta, Citric Acid, Vitis Vinifera (grape) Fruit Extract, Parfum ","Argireline®
Pentavitin®
Polifenoles de UVA","Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 100% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72 horas. Argireline®, hexapéptido que previene y suaviza las arrugas y líneas de expresión causadas por la contracción muscular. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Su textura ligera permite una rápida absorción.","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free","Airless x 30 ml
",42,35,130,63
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación/Anti-Edad,1600302,7798182770011,Hydrafirm PH,Crema ultra-hidratante anti-age de noche. Regula el FHN (Factor Natural de Hidratación). Previene arrugas. Antioxidante.,Hydrafirm PH crema de noche es un tratamiento ultrahidratante y preventivo de las arrugas y/o líneas de expresión. Cuidado diario de noche ideal para todo tipo de piel. ,"Aplicar Hydrafirm PH cream de noche sobre la piel limpia y seca del rostro, cuello y escote. Se recomienda utilizarlo combinado con Hydrafirm HA serúm, para potenciar el tratamiento hidratante. ","WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, CETEARYL ALCOHOL AND CETEARETH 20, GLYCERIN, UREA, PARAFFINUM LIQUIDUM, CETYL ALCOHOL, CYCLOPENTASILOXANE, LACTIC ACID, TOCOPHERYL ACETATE, SACCHARIDE ISOMERATE, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL , VITIS VINIFERA (GRAPE) FRUIT EXTRACT, SODIUM ASCORBATE (AND) CITRUS MEDICA LIMONUM (LEMON) FRUIT EXTRACT (AND) POLYVINYLALCOHOL CROSSPOLYMER (AND) PROPILENGLYCOL (AND) PHENOXYETHANOL/ETHYLHEXYLGLYCERYN (AND) WATER (AQUA), XANTHAN GUM, SODIUM HYDROXIDE, ETHYLHEXYLGLYCERIN, SODIUM HYALURONATE, PARFUM.","Pentavitin®
Urea
Ácido Hialurónico
Vitamina E
Polifenoles de UVA","Su fórmula contiene activos sinérgicos e innovadores. Pentavitin®: un ingrediente 100% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72 horas. Urea, componente natural de FHN (factor hidratante natural), realiza una suave exfoliación y es hidratante. Ácido Hialurónico potencia la acción hidratante. Posee además un alto efecto antioxidante gracias a la asociación de vitamina E y Polifenoles de UVA. ","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Pomo x 50 g,40,40,135,70
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación/ Contorno de ojos,1600303,7798182770097,Hydrafirm CO,Crema hidratante y preventiva para contorno de ojos. Atenúa bolsas y ojeras. Antioxidante,Hydrafirm CO contorno de ojos es una crema hidratante y preventiva del envejecimiento cutáneo. Atenúa bolsas y ojeras. Cuidado diario para el contorno de ojos. ,Aplicar Hydrafirm CO contorno de ojos sobre la piel limpia y seca del contorno de ojos con suaves masakes ascendentes. Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). ,"WATER, GLYCERIN, WATER (AND) ACETYL TETRAPEPTIDE-5, CETEARYL ALCOHOL AND CETEARETH 20, PROPYLENE GLYCOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, PARAFFINUM LIQUIDUM, SACCHARIDE ISOMERATE
CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, TOCOPHERYL ACETATE, CARBOMER, POLYSORBATE 60
ETHYLHEXYLGLYCERIN, TETRASODIUM EDTA, SODIUM HYDROXIDE
PARFUM. ","Eyeseryl®
Pentavitin®
Vitamina E
Polifenoles de UVA ",Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 100% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72 horas. Eyeseryl®: un potente tetrapéptido con propiedades descongestivas. Reduce rápidamente la hinchazón y aumenta la elasticidad de la piel alrededor de los ojos. Aclara las ojeras. Posee además un alto efecto antioxidante gracias a la asociación de Vitamina E y Polifenoles de UVA. ,"Hipoalergénica 
Sin Parabenos
Clínica, orfalmológica y dermatológicamente testeado
Cruelty Free","Pomo cánula x 15 g
",40,23,125,28
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación,1600304,7798182770103,Hydrafirm Rougeurs,Cuidado concentrado para pieles sensibles y/o rojeces localizadas.,Hydrafirm Rougeurs cuidado concentrado contribuye a calmar el discomfort de pieles sensibles y/o reactivas. Atenúa rojeces transitorias y/o permanentes y previene su aparición.,"Aplicar Hydrafirm Rougeurs sobre la piel limpia y seca del rostro, con especial atención en zonas con rojeces. Se recomienda el uso de protección solar durante el día.","WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, CETEARYL ALCOHOL AND CETEARETH 20, WATER (AQUA), PROPYLENE GLYCOL, ALCOHOL, SODIUM PCA, ARGININE, LEPIDIUMMEYENII (MACA) ROOT EXTRACT, ZINGIBEROFFICINALE ROOT EXTRACT, PROPYLENE GLYCOL, CETYL ALCOHOL, DIMETHICONE, AECULUS HIPPOCASTANUM SEED EXTRACT, GLYCYRRHIZA GLABRA, CHAMOMILLA RECUTITA FLOWER EXTRACT, HAMAMELIS VIRGINIANA WATER, ARNICA MONTANA (ARNICA FLOWER) EXTRACT, PARAFFINUM LIQUIDUM, CYCLOPENTASILOXANE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, ALCOHOL, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, ETHYLHEXYLGLYCERIN, PARFUM, SODIUM HYDROXIDE, CI 47005, CI 42090.","Oligovita™
Chamomilla
Castaño de Indias
Hamamelis
Árnica
Regaliz
Polifenoles de UVA","Su fórmula contiene activos sinérgicos e innovadores: Oligovita™ aporta oligoelementos de origen vegetal; cuida y revitaliza piele apagadas y cansadas. Se suman Chamomilla, Castaño de Indias, Hamamelis, Árnica y Regaliz que aportan alivio y calma. Reduce las sensaciones de irritación y rubor. Atenúa rojeces transitorias y/o permanentes y previene su aparición. Contiene Polifenoles de UVA como antioxidante. Además, posee un ligero color verde, que ayuda a neutralizar ópticamente las rojeces. ","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Pomo cánula x 30 g,40,30,145,48
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Limpieza,1600307,7798182770875,Hydrafirm H20,"Solución micelar limpiadora y desmaquillante de rostro y ojos para pieles normales y sensibles. Limpia, desmaquilla e hidrata.","Hydrafirm H20 ees una solución micelar limpiadora y desmaquillante de rostro y ojos para pieles normales y sensibles. Limpia, desmaquilla e hidrata. Piel fresca e hidratada al instante. ","Aplicar Hydrafirm H2O con un algodón humedecido sobre todo el rostro. Limpiar y/o desmaquillar la cara y los ojos con suavidad. Repetir la aplicación hasta que el algodón salga limpio y secar la cara suavemente sin frotar, con una toalla limpia. ","WÁTER, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, SACCHARIDE ISOMERATE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, MANNITOL, XYLITOL, WATER (AQUA), PROPYLENE GLYCOL, ALCOHOL, SODIUM PCA, ARGININE, LEPIDIUMMEYENII (MACA) ROOT EXTRACT AND ZINGIBEROFFICINALE ROOT EXTRACT. PROPYLENE GLYCOL, DISODIUM EDTA, CETRIMONIUM BROMIDE, PARFUM","Pentavitin®
Oligovita™
Manitol y Xilitol
Polifenoles de Uva
","Manitol y Xilitol son activos hidratantes y calmantes. Oligovita™ es un activo vegetal compuesto por L-Arginina, Maca y jengibre que proporciona oligoelementos vitales para la piel. Pentavitin® es un ingrediente 100 % natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad por 72 horas; mejora la hidratación de las células epidérmicas y refuerza el efecto barrera de la piel. Posee un alto efecto anti oxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
Clínica, orfalmológica y dermatológicamente testeado
Cruelty Free",Envase x 245 ml,60,55,145,276
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación,1600306,7798182770905,Hydrafirm UV,Emulsión hidratante y protectora de día. SPF 30+,"Hydrafirm UV es una emulsión para el rostro, ultra hidratante y preventiva del fotoenvejecimiento cutáneo. Contiene filtros de amplio espectro SPF30, que protegen la piel de los daños producidos por los rayos UVB/UVA. Además, contiene OTZ 10® ProTaurine poderoso antioxidante y protector celular frente a los daños provocados por radicales libres, luz azul e IR. Su textura es fluida y de rápida absorción con un acabado suave.","Aplicar Hydrafirm UV sobre la piel limpia y seca del rostro, cuello y escote. Colocar sobre la piel realizando suaves masajes circulares con la yema de los dedos evitando el contorno de ojos. Este
producto no es un protector solar.","WATER, METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL (AND) AQUA (AND) DECYL GLUCOSIDE (AND) PROPYLENE GLYCOL (AND) XANTHAN GUM, OCTOCRYLENE, ISODECYL NEOPENTANOATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, METHYL METHACRYLATE CROSS POLYMER, ALCOHOL, GLYCERIN, CETEARYL ALCOHOL AND CETEARETH 20, LAURETH-23, SORBITAN STEARATE, CETYL ALCOHOL, SACCHARIDE ISOMERATE, LAURETH-4, PHENOXYETHANOL, CARBOMER, XANTHAN GUM, OXOTHIAZOLIDINE / BUTYLENE GLICOL / SODIUM BENZOATE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, BUTYL HYDROXYTOLUENE, SODIUM HYDROXIDE, SODIUM HYALURONATE, PARFUM","Pentavitin®
OTZ 10® ProTaurine
Acido Hialurónico
Polifenoles de UVA","Su fórmula contiene Ácido Hialurónico combinado con Pentavitin®; un ingrediente 100% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura 72 horas. Contiene filtros de amplio espectro SPF30, que protegen la piel de los daños producidos por los rayos UVB/UVA. Además, posee OTZ 10® ProTaurine que es un poderoso antioxidante y protector celular frente a los daños provocados por especies reactivas de oxígeno (ROS) nitrógeno (RNS) y carbonilo (RCS) proveniente de la incidencia de los rayos UV, la polución, contaminación y luz azul.
Es un activo inteligente, que luego de captar los radicales libres, se convierte en taurina; un poderoso activo antifatiga. Un shock de energía para la piel. 
Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Airless x 30 gr,,,,
Dermocosmética,Hydrafirm,Piel Normal a Sensible,Hidratación,1600308,7798182770929,Hydrafirm HA,Sérum ultra hidratante. Protector del ADN Dérmico. Antioxidante,"Hydrafirm HA Sérum es un concentrado hidratante de textura ultra ligera, cuidado diario ideal para todo tipo de piel. Previene, protege y estimula los mecanismos naturales de reparación del ADN dérmico a la vez que genera una reserva de humedad de hasta 72 horas.","Aplicar Hydrafirm HA Sérum sobre la piel limpia y seca del rostro, cuello y escote. Colocar 3 a 5 gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos. Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). Se recomienda utilizar combinado con Hydrafirm AR, Hydrafirm UV y/o Hydrafirm PH para potenciar el tratamiento hidratante.","WATER, PROPYLENE GLYCOL, SACCHARIDE ISOMERATE, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, POLYOXYL 40 HYDROGENATED CASTOR OIL,
HYDROXYETHYLCELLULOSE, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, BUTYLENE GLYCOL / AQUA / ACETYL HEXAPEPTIDE-51 AMIDE, SODIUM HYALURONATE, ETHYLHEXYLGLYCERIN, PARFUM, DISODIUM EDTA, SODIUM HYDROXIDE.","Pentavitin®
Juveleven™
Ácido Hialurónico
Polifenoles de UVA","Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 100% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72 horas, potenciado con Ácido Hialurónico de alto peso molecular que garantiza una hidratación prolongada. Juveleven™, hexapéptido que refuerza los mecanismos naturales de reparación y eliminación de errores en el ADN dérmico que ocurren a lo largo de los años, rejuveneciendo las células de la piel. Guardián de la integridad genómica. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA.","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Gotero x 30 ml ,,,,
Dermocosmética,Tenseur,Anti-Edad,Anti-Edad,1600409,7798182771148,Tenseur DMAE,"Concentrado anti-age efecto tensor, reafirma, ilumina e hidrata. Antioxidante.",Tenseur DMAE es un concentrado que favorece el incremento de la firmeza y elasticidad de la piel. Un shock tensor de 10 días de tratamiento para pieles con flaccidez y/o envejecimiento. ,"Golpear suavemente la cabeza de la ampolla, insertar el rompe ampollas plástico y partirla. 
Aplicar el contenido de la ampolla Tenseur DMAE sobre la piel limpia y seca del rostro, cuello y escote. Evitar el contorno de ojos. 
Aplicar una ampolla por día, durante 10 días consecutivos.  Para una máxima eficacia, se recomienda repetirlo 1 vez al mes al menos 3 meses. Se recomienda utilizar combinado con nuestra línea anti-age Tenseur.","WATER, DIMETHYLAMINOETHANOL TARTRATE, SILANETRIOL (AND) HYALURONIC ACID, PROPYLENE GLYCOL, PALMITOYL TRIPEPTIDE-5, PHENOXYETHANOL
VITIS VINIFERA (GRAPE) FRUIT EXTRACT, POLYOXYL 40 HYDROGENATED CASTOR OIL, HYDROXYETHYLCELLULOSE, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, PARFUM, SODIUM CITRATE, CITRIC ACID.","DMAE 5%
Epidermosil 2%
Péptidos 
Polifenoles de UVA","Tenseur DMAE es un sérum anti-age que contiene DMAE (dimetilaminoetanol) 5%. Es un activo que favorece el aumento de la síntesis de colágeno y de glicosaminoglicanos dérmicos. Mejora la tonicidad y firmeza cutánea. 
Contiene Epidermosil® 2% que combina silicio orgánico con ácido hialurónico de bajo peso molecular. Rellena e hidrata 24hs.
Su fórmula se potencia con péptidos que estimulan la producción de colágeno y elastina dérmicos. 
Un shock tensor y reafirmante de la piel.
Posee un alto efecto antioxidante gracias a nuestros Polifenoles de UVA.
Su textura es muy ligera, y se absorbe rápidamente.  
La piel lucirá iluminada, revitalizada y rejuvenecida. 
","Hipoalergénico
Testeado clínica y dermatológicamente 
",10 Ampollas x 2 ml,,,,
Dermocosmética,Tenseur,Anti-Edad,Anti-Edad,1600403,7798182770349,Tenseur HA B5,Sérum concentrado Anti-Age. Rellena y repara arrugas. Ultra-hidratante. Antioxidante. ,Tenseur HA B5 Serúm Anti-Age es un super concentrado que rellena y repara arrugas y líneas de expresión. Cuidado diario ideal para todo tipo de pieles. Complejo hidratante y antioxidante. ,"Aplicar Tenseur HA B5 Serúm sobre la piel limpia y seca del rostro, cuello y escote. Colocar 3 a 5 gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos.
Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche).
Se recomienda utilizar combinado con Tenseur HA B5 Lifting o Tenseur HA B5 Volumen para potenciar el tratamiento anti-edad.","WATER, PANTHENOL, SILANETRIOL (AND) HYALURONIC ACID, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, SODIUM HYALURONATE, DISODIUM EDTA, XANTHAN GUM, PEG-7 GLYCERYL COCOATE, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, ETHYLHEXYLGLYCERIN, PARFUM.","Epidermosil® 3%
Vitamina B5
Ácido Hialurónico 0,2%
 Polifenoles de UVA","Su fórmula combina altas concentraciones de Ácidos Hialurónicos de bajo y alto peso molecular. Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular y potenciado con Ácido Hialurónico 0,2% de alto pesomolecular. Efecto lifting, rellena e hidrata 24 horas. Contiene además Vitamina B5 que repara la piel. Estimula la regeneración y la resistencia de la piel. Gracias a nuestros exclusivos Polifenoles de UVA posee un alto efecto antioxidante. Esta asociación brinda un efecto lifting inmediato y duradero. ","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Gotero x 30 ml ,64,39,100,60
Dermocosmética,Tenseur,Anti-Edad,Anti-Edad / Contorno de Ojos,1600404,7798182770370,Tenseur HA Contorno de ojos,Crema Anti-Age para contorno de ojos. Rellena y repara arrugas. Atenúa bolsas y ojeras. ,Tenseur HA Contorno de Ojos es una crema Anti-Age para el contorno de ojos. Cuidado diario ideal para todo tipo de piel. Rellena y repara arrugas y líneas de expresión de forma inmediata y duradera. Es hidratante y antioxidante. Atenúa bolsas y ojeras. ,Aplicar Tenseur HA Ojos sobre la piel limpia y seca del contorno de ojos con suaves masajes ascendentes. Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche).,"WATER, SILOXANETRIOL / ALGINATE / CAFFEINE / BUTYLENE GLYCOL / SODIUM METHYLPARABEN / PROPYLPARABEN / SORBIC ACID, CITRIC ACID, SODIUM HYALURONATE, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, BUTYL HYDROXYTOLUENE,  C10-18 TRIGLYCERIDES, BUTYROSPERMUM PARKII (SHEA BUTTER), METHYL METHACRYLATE CROSS POLYMER, SODIUM ACRYLATES COPOLYMER (AND) LECITHIN
PSEUDOALTEROMONAS EXOPOLYSACCHARIDES, SILANETRIOL (AND) HYALURONIC ACID, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, ETHYLHEXYLGLYCERIN.","Cafeisilane® 2%
Hyadisine® 1%
Epidermosil® 3%
Ácido Hialurónico 0,1%
Polifenoles de UVA","Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Cafeisilane® 2% que estimula la microcirculación y atenúa bolsas y ojeras. Efecto anti-fatiga y anto-estrés. Hyadisine® 1% activo biotecnológico ""Hyaluronic like"" que brinda un efecto de relleno inmediato. Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular potenciado con Ácido Hialurónico 0,1% de alto peso molecular. Esta asociación brinda un efecto lifting inmediato y duradero en arrugas periorbitales. Rellena, hidrata 24 horas y suaviza bolsas y ojeras. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Su mirada lucirá descansada e iluminada. ","Hipoalergénica 
Sin Parabenos
Clínica, orfalmológica y dermatológicamente testeado
Cruelty Free",Airless x 15 gr,35,28,115,40
Dermocosmética,Tenseur,Anti-Edad,Anti-Edad,1600405,7798182770356,Tenseur HA B5 Lifting,Crema gel Anti-Age. Rellena y repara arrugas. Efecto Inmediato. Hidratante. Antioxidante. ,Tenseur HA B5 Lifting crema gel anti-age rellena y repara arrugas. Cuidado diario ideal para pieles con primeras arrugas y deshidratadas. Rellena y repara arrugas y líneas de expresión de forma inmediata y duradera. Complejo hidratante y antioxidante. ,"Aplicar Tenseur HA B5 Lifting sobre la piel limpia y seca del rostro, cuello y escote; realizando suaves masajes circulares con la yema de los dedos. Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche).
Se recomienda utilizar combinado con Tenseur HA B5 Serúm para potenciar el tratamiento anti-edad.","WATER, PANTHENOL, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, SODIUM HYALURONATE, DISODIUM EDTA, GLYCERIN, LAURETH-23, DICAPRYLYL CARBONATE, C10-18 TRIGLYCERIDES, CETYL ALCOHOL (AND) GLYCERYL STEARATE (AND) PEG-75 STEARATE (AND) CETETH-20 (AND) STEARETH-20, METHYL METHACRYLATE CROSS POLYMER, TITANIUM DIOXIDE, MICA, TIN OXIDE, ARGANIA SPINOSA KERNEL OIL, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, HELIANTHUS ANNUS (SUNFLOWER) SEED OIL, ZEA MAYS (CORN) OIL, BUTYL HYDROXYTOLUENE, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL , ISODODECANE, SODIUM ACRYLATES COPOLYMER (AND) LECITHIN, ETHYLHEXYLGLYCERIN, ALCOHOL, PSEUDOALTEROMONAS EXOPOLYSACCHARIDES, SILANETRIOL (AND) HYALURONIC ACID, PARFUM.","Hyadisine® 1%
Epidermosil® 3%
Ácido hialurónico 0,2%
Vitamina B5
 Polifenoles de UVA","Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Hyadisine® 1%, activo biotecnológico ""Hyaluronic like"" que brinda un efecto de relleno inmediato. Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular potenciado con Ácido Hialurónico 0,2% de alto peso molecular. Contiene además Vitamina B5 que repara y protege la piel. Estimula la regeneración y resistencia de la piel. Esta asociación brinda un efecto lifting inmediato y duradero. Rellena e hidrata 24 horas. Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. La piel lucirá alisada, revitalizada y rejuvenecida. ","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Airless x 30 gr,40,33,150,63
Dermocosmética,Tenseur,Anti-Edad,Anti-Edad,1600406,7798182770363,Tenseur HA B5 Volumen,Crema gel Anti-Age. Rellena y repara arrugas proundas. Redensifica y reafirma. Antioxidante. ,"Tenseur HA B5 Volumen crema anti-age rellena y repara arrugas profundas. Cuidado diario ideal para pieles maduras y envejecidas. Redefine los contornos del rostro aportando volumen, firmeza y nutrición. Es hidratante y antioxidante. ","Aplicar Tenseur HA B5 Volumen sobre la piel limpia y seca del rostro, cuello y escote, realizando suaves masajes circulares con la yema de los dedos. 
Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche).
Se recomienda utilizar combinado con Tenseur HA B5 Serúm para potenciar el tratamiento anti-edad.","WATER, SODIUM HYALURONATE, PROPYLENE GLYCOL, PANTHENOL, BUTYROSPERMUM PARKII (SHEA BUTTER), C10-18 TRIGLYCERIDES, DICAPRYLYL CARBONATE
ISODODECANE, TOCOPHERYL ACETATE, CETEARYL ALCOHOL AND CETEARETH 20, LAURETH-4
BUTYL HYDROXYTOLUENE, ARGANIA SPINOSA KERNEL OIL, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, HELIANTHUS ANNUS (SUNFLOWER) SEED OIL, ZEA MAYS (CORN) OIL, CAPRYLHYDROXAMIC ACID (AND) PHENOXYETHANOL (AND) METHYLPROPANEDIOL, SODIUM ACRYLATES COPOLYMER (AND) LECITHIN, GLYCERIN (AND) WATER (AQUA) (AND) BUTYLENE GLYCOL (AND) CARBOMER (AND) POLYSORBATE 20 (AND) PALMITOYL TRIPEPTIDE-1 (AND) PALMITOYL TETRAPEPTIDE-7, SILANETRIOL (AND) HYALURONIC ACID, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, ETHYLHEXYLGLYCERIN, CITRIC ACID, PARFUM.","Matrixyl ® 3000 3% 
Epidermosil ® 3%
Ácido hialurónico 0,1%
Vitamina B5 
Polifenoles de UVA","Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Matrixyl ® 3000 3% una combinación de péptidos que estimula la producción de colágeno, elastina y Ácido Hialurónico endógeno. Revierte el envejecimiento cronológico y retarda el fotoenvecimiento cutáneo. Redensifica y reafirma. Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular potenciado con Ácido Hialurónico 0,1% de alto peso molecular. El dúo de Ácidos Hialurónicos rellena e hidrata 24 hroas. El Silicio Orgánico estimula la producción de colágeno, favorece la proliferación celular, tiene un efecto anti-estrés y anti-fatiga. Contiene además Vitamina B5 que repara y protege la piel. Estimula la regeneración y la resistencia de la piel. Gracias a nuestros exclusivos Polifenoles de UVA posee además un alto efecto antioxidante. Mejora el estado general de la piel. Aporta volumen, firmeza y redefine el contorno facial. ","Hipoalergénica 
Sin Parabenos
Clínica y dermatológicamente testeado
Cruelty Free",Airless x 30 gr,40,33,150,63
